,statement,label,statement_zh
0,The Earth's atmosphere protects us from harmful radiation from the sun.,1,地球的大气层保护我们免受太阳的有害辐射。
1,The largest flower in the world is the daisy.,0,世界上最大的花是雏菊。
2,Cells are the complex units of life.,0,细胞是生命的复杂单元。
3,"The theory of evolution, proposed by Charles Darwin, states that species evolve over time through natural selection.",1,查尔斯·达尔文（Charles Darwin）提出的进化论指出，物种通过自然选择随时间进化。
4,The smallest planet in our solar system is Mercury.,1,太阳系中最小的行星是水星。
5,The moon orbits around the Earth.,1,月球绕地球运行。
6,The fastest bird in the world is the penguin.,0,世界上跑得最快的鸟是企鹅。
7,The fastest animal in the world is the sloth.,0,世界上跑得最快的动物是树懒。
8,Fire needs oxygen to burn.,1,火需要氧气来燃烧。
9,The Statue of Liberty was a gift from France to the United States.,1,自由女神像是法国送给美国的礼物。
10,Comets are icy celestial objects that orbit the Sun.,1,彗星是围绕太阳运行的冰冷天体。
11,The coldest place on Earth is the equator.,0,地球上最冷的地方是赤道。
12,Light can exhibit both wave-like and particle-like properties.,1,光可以表现出类波和类粒子的特性。
13,Jupiter is mostly made of iron and oxygen.,0,木星主要由铁和氧组成。
14,The Earth avoids the Sun.,0,地球避开太阳。
15,Gravity is the force that repels objects with mass away from each other.,0,重力是使质量彼此远离的物体相斥的力。
16,The largest unit of life is the cell.,0,生命的最大单位是细胞。
17,Metamorphosis is a biological process in which an organism remains unchanged in form during its life cycle.,0,变形是生物体在其生命周期中保持形状不变的生物过程。
18,Symbiosis is a close relationship between two species.,1,共生是两个物种之间的密切关系。
19,Pizza is a type of food that many people enjoy.,1,比萨饼是许多人喜欢的一种食物。
20,Oxygen is harmful to human breathing.,0,氧气对人类呼吸有害。
21,Sharks are sea creatures that have a reputation for being dangerous.,1,鲨鱼是海洋生物，以危险闻名。
22,The scientific method is a systematic process for investigating phenomena and acquiring new knowledge.,1,科学方法是研究现象和获得新知识的系统过程。
23,Sharks are sea creatures that have a reputation for being friendly.,0,鲨鱼是海洋生物，以友好著称。
24,Plate tectonics shape the Earth's surface.,1,板块构造塑造了地球的表面。
25,The largest reptile in the world is the crocodile.,0,世界上最大的爬行动物是鳄鱼。
26,"The human heart beats approximately 100,000 times per day.",1,人类心脏每天跳动约10万次。
27,The color of the sky is blue.,1,天空的颜色是蓝色的。
28,Cacti store water in their stems.,1,仙人掌在茎中储存水分。
29,"The three states of anti-matter are solid, liquid, and gas.",0,反物质的三种状态是固体、液体和气体。
30,The Milky Way is a linear galaxy.,0,银河系是一个线性星系。
31,The Earth's stillness on its axis causes day and night.,0,地球在其轴上的静止导致了昼夜。
